time,open,high,low,close
1701375900.0,1.089,1.089,1.08842,1.08858
1701376200.0,1.08857,1.08878,1.08855,1.08868
1701376500.0,1.08867,1.08898,1.08861,1.08897
1701376800.0,1.08898,1.08929,1.08893,1.0892
1701377100.0,1.0892,1.08927,1.08907,1.08924
1701377400.0,1.08924,1.08942,1.0892,1.08932
1701377700.0,1.08932,1.08934,1.0888,1.08896
1701378000.0,1.08892,1.08913,1.08883,1.08906
1701378300.0,1.08899,1.08899,1.08844,1.0885
1701378600.0,1.0885,1.08859,1.08831,1.08831
1701378900.0,1.08831,1.08838,1.08817,1.08827
1701379200.0,1.08827,1.08836,1.08819,1.08825
1701379500.0,1.08825,1.08826,1.08788,1.088
1701379800.0,1.08801,1.0881,1.08791,1.08798
1701380100.0,1.08793,1.08807,1.08791,1.08801
1701380400.0,1.08801,1.08816,1.08789,1.08813
1701380700.0,1.08813,1.08817,1.08804,1.0881
1701381000.0,1.08811,1.08841,1.08811,1.08834
1701381300.0,1.08834,1.08849,1.08828,1.08845
1701381600.0,1.08837,1.08871,1.08831,1.08865
1701381900.0,1.08865,1.08892,1.08863,1.08892
1701382200.0,1.08891,1.08908,1.08891,1.08904
1701382500.0,1.08904,1.08906,1.08881,1.08886
1701382800.0,1.08886,1.0889,1.08874,1.08878
1701383100.0,1.08878,1.08883,1.08861,1.08866
1701383400.0,1.08868,1.08881,1.08868,1.08878
1701383700.0,1.08878,1.08878,1.08871,1.08872
1701384000.0,1.08872,1.08875,1.0887,1.08874
1701384300.0,1.08875,1.08883,1.08873,1.08877
1701384600.0,1.08877,1.08889,1.08876,1.08889
1701384900.0,1.08889,1.0889,1.08876,1.08878
1701385200.0,1.0884,1.08841,1.08799,1.08826
1701385500.0,1.08842,1.08856,1.0883,1.08831
1701385800.0,1.08849,1.08858,1.08826,1.08847
1701386100.0,1.08847,1.08859,1.08826,1.08845
1701386400.0,1.08845,1.08861,1.08842,1.08853
1701386700.0,1.08853,1.08857,1.08844,1.08856
1701387000.0,1.08856,1.08865,1.08848,1.08862
1701387300.0,1.08862,1.08871,1.08862,1.08863
1701387600.0,1.08867,1.08871,1.08864,1.08871
1701387900.0,1.08871,1.08871,1.08863,1.08869
1701388200.0,1.08869,1.08888,1.08866,1.08886
1701388500.0,1.08886,1.08916,1.08872,1.08907
1701388800.0,1.08913,1.0892,1.08891,1.08912
1701389100.0,1.08913,1.08914,1.08899,1.089
1701389400.0,1.089,1.08903,1.08894,1.08896
1701389700.0,1.08896,1.08905,1.08895,1.08901
1701390000.0,1.08901,1.08907,1.089,1.08905
1701390300.0,1.08906,1.08933,1.08905,1.08927
1701390600.0,1.08927,1.0894,1.08912,1.08912
1701390900.0,1.08912,1.0894,1.08905,1.08936
1701391200.0,1.08936,1.08937,1.08928,1.08932
1701391500.0,1.08932,1.08932,1.08923,1.08931
1701391800.0,1.08931,1.08932,1.08922,1.08922
1701392100.0,1.08922,1.08928,1.08908,1.0891
1701392400.0,1.08912,1.08942,1.08911,1.08942
1701392700.0,1.08941,1.08953,1.08936,1.08944
1701393000.0,1.08944,1.08973,1.08941,1.08971
1701393300.0,1.08971,1.08985,1.08969,1.08978
1701393600.0,1.08978,1.0899,1.0897,1.0899
1701393900.0,1.08989,1.09006,1.08988,1.08988
1701394200.0,1.08988,1.09024,1.08987,1.09022
1701394500.0,1.09022,1.09023,1.08996,1.09005
1701394800.0,1.09005,1.09019,1.08991,1.09018
1701395100.0,1.09018,1.09024,1.09002,1.09008
1701395400.0,1.09008,1.09025,1.09001,1.09021
1701395700.0,1.09022,1.09022,1.09005,1.09012
1701396000.0,1.09012,1.09056,1.09008,1.09044
1701396300.0,1.09044,1.09069,1.09038,1.09067
1701396600.0,1.09068,1.09088,1.09064,1.09072
1701396900.0,1.09072,1.09089,1.09067,1.09087
1701397200.0,1.09087,1.09087,1.09049,1.09066
1701397500.0,1.09067,1.09074,1.09054,1.09063
1701397800.0,1.09062,1.09079,1.0906,1.0907
1701398100.0,1.09072,1.0909,1.09065,1.09083
1701398400.0,1.09084,1.09097,1.09082,1.09089
1701398700.0,1.09092,1.09094,1.09068,1.09069
1701399000.0,1.09069,1.0908,1.09062,1.09062
1701399300.0,1.09062,1.09071,1.09053,1.09064
1701399600.0,1.09064,1.09089,1.09061,1.09085
1701399900.0,1.09085,1.09088,1.09076,1.09085
1701400200.0,1.09085,1.09088,1.0907,1.0908
1701400500.0,1.0908,1.09081,1.09067,1.09073
1701400800.0,1.09072,1.09087,1.09072,1.09083
1701401100.0,1.09083,1.09088,1.09081,1.09082
1701401400.0,1.09082,1.09113,1.09081,1.09106
1701401700.0,1.09107,1.09108,1.0909,1.09101
1701402000.0,1.091,1.09123,1.091,1.0912
1701402300.0,1.0912,1.09121,1.09071,1.09071
1701402600.0,1.09071,1.09078,1.09054,1.0907
1701402900.0,1.0907,1.09074,1.09059,1.09071
1701403200.0,1.09071,1.09081,1.09057,1.09065
1701403500.0,1.09065,1.09072,1.09052,1.09057
1701403800.0,1.09057,1.09069,1.09057,1.09064
1701404100.0,1.09063,1.09087,1.09063,1.09079
1701404400.0,1.09079,1.0908,1.09067,1.09072
1701404700.0,1.09072,1.09077,1.09061,1.09061
1701405000.0,1.09061,1.09067,1.09051,1.09059
1701405300.0,1.09059,1.0906,1.09032,1.09037
1701405600.0,1.09037,1.09044,1.09032,1.09034
1701405900.0,1.09034,1.0904,1.09004,1.09005
